page_url,image_src,occurrence_index,original_alt,corrected_alt,source_file,status
/salesforce-b2c-commerce-cloud-erd/,/media/2023/salesforce-b2c-commerce-cloud-erd-0bdb8b007c.jpeg,1,,Full Salesforce B2C Commerce Cloud entity relationship diagram.,migration/output/content/pages/salesforce-b2c-commerce-cloud-erd.md,applied
/ai-einstein-in-salesforce-b2c-commerce-cloud/,/media/2022/cquotient-demandware-history-v2-942e794c7b.png,1,,Legacy CQuotient administration screen before the Einstein rebrand.,migration/output/content/posts/ai-einstein-in-salesforce-b2c-commerce-cloud.md,applied
/ai-einstein-in-salesforce-b2c-commerce-cloud/,/media/2022/einstein-cquotient-shared-database-6ab8c2ae5e.jpg,1,,Einstein Search Dictionaries Opt-In setting used to enable shared-data consent.,migration/output/content/posts/ai-einstein-in-salesforce-b2c-commerce-cloud.md,applied
/ai-einstein-in-salesforce-b2c-commerce-cloud/,/media/2022/sfcc-einstein-product-recommendations-75e024ae7c.jpg,1,,Einstein product recommendations rendered in a storefront experience.,migration/output/content/posts/ai-einstein-in-salesforce-b2c-commerce-cloud.md,applied
/ai-einstein-in-salesforce-b2c-commerce-cloud/,/media/2022/commerce-insights-report-c598e1214b.jpg,1,,Commerce Insights report showing shopper and basket trend data.,migration/output/content/posts/ai-einstein-in-salesforce-b2c-commerce-cloud.md,applied
/ai-einstein-in-salesforce-b2c-commerce-cloud/,/media/2022/einstein-search-dictionaries-suggestion-phrases-467a548c85.jpg,1,,Einstein search dictionaries suggesting phrases and synonym refinements.,migration/output/content/posts/ai-einstein-in-salesforce-b2c-commerce-cloud.md,applied
/ai-einstein-in-salesforce-b2c-commerce-cloud/,/media/2022/sfcc-category-page-3297251518.jpg,1,,Category page showing products reordered by predictive sort.,migration/output/content/posts/ai-einstein-in-salesforce-b2c-commerce-cloud.md,applied
/ai-einstein-in-salesforce-b2c-commerce-cloud/,/media/2022/sfcc-search-suggestions-d172038c0b.jpg,1,,Search box suggestions generated by Einstein as the shopper types.,migration/output/content/posts/ai-einstein-in-salesforce-b2c-commerce-cloud.md,applied
/custom-ttf-fonts-in-pdf-for-sfcc/,/media/2023/custom-font-result-df8aa2e64b.png,1,A screenshot of a generated PDF showing different fonts.,Generated PDF preview showing multiple custom fonts rendered in the output.,migration/output/content/posts/custom-ttf-fonts-in-pdf-for-sfcc.md,applied
/field-guide-to-custom-caches-in-sfcc/,/media/2025/salesforce-commerce-cloud-blueprinting-caches-c155ca3f8c.jpeg,1,"Image Alt Text: A friendly cartoon character in a flat vector style, building a data cache from a blueprint, with vibrant data lines flowing into the structure.",Cartoon blueprint scene illustrating how a custom cache is assembled.,migration/output/content/posts/field-guide-to-custom-caches-in-sfcc.md,applied
/field-guide-to-custom-caches-in-sfcc/,/media/2025/ods-custom-caches-business-manager-c30167212b.png,1,"A screenshot of the ""Administration > Operations > Custom Caches"" screen in the business manager.",Custom Caches screen in Business Manager.,migration/output/content/posts/field-guide-to-custom-caches-in-sfcc.md,applied
/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud/,/media/2023/b2c-active-merchandising-slide-1-9a027d6449.gif,1,,Slide introducing Active Merchandising data collection across commerce channels.,migration/output/content/posts/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud.md,applied
/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud/,/media/2023/system-object-active-data-physicalvisits-84071d27a1.jpg,1,,Customer Active Data system object with the physicalVisits attribute.,migration/output/content/posts/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud.md,applied
/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud/,/media/2023/system-object-active-data-physicalvisitsmonth-e1e4a24148.jpg,1,,Customer Active Data system object with the physicalVisitsMonth attribute.,migration/output/content/posts/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud.md,applied
/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud/,/media/2023/system-object-active-data-attributegroup-96d35b50eb.jpg,1,,Attribute group configuration for the Physical Store Traffic fields.,migration/output/content/posts/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud.md,applied
/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud/,/media/2023/new-customer-active-data-feed-ec272e512c.jpg,1,,New Customer Active Data feed definition form.,migration/output/content/posts/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud.md,applied
/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud/,/media/2023/customer-active-data-sfcc-c14383fa6a.jpg,1,,Customer profile showing imported Active Data values in Business Manager.,migration/output/content/posts/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud.md,applied
/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud/,/media/2023/dynamic-customer-group-a8cdefb897.jpg,1,,Dynamic customer group rule based on recent in-store visits.,migration/output/content/posts/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud.md,applied
/how-to-get-salesforce-certification-vouchers/,/media/2023/accreditations-vs-certifications-7c6224e505.png,1,,Comparison graphic for accreditations versus certifications.,migration/output/content/posts/how-to-get-salesforce-certification-vouchers.md,applied
/how-to-get-salesforce-certification-vouchers/,/media/2023/partner-benefits-0de8d66c3b.png,1,,Partner benefits graphic used in the voucher overview.,migration/output/content/posts/how-to-get-salesforce-certification-vouchers.md,applied
/how-to-set-up-slas-for-the-composable-storefront/,/media/2023/slas-admin-ui-button-business-manager-7bdbd7a798.jpg,1,,Salesforce Commerce API Settings page with the SLAS Admin UI link.,migration/output/content/posts/how-to-set-up-slas-for-the-composable-storefront.md,applied
/how-to-set-up-slas-for-the-composable-storefront/,/media/2023/slas-admin-ui-login-ff882d0848.jpg,1,,Sign-in page that links to the SLAS Admin UI.,migration/output/content/posts/how-to-set-up-slas-for-the-composable-storefront.md,applied
