legacy_url,target_url,route_class,content_file,source_artifact,public_artifact,status,actual_outcome,notes
/,/,page,pages/home.md,,index.html,pass,explicit-frontmatter-route,Keep route is preserved by explicit url front matter on the destination content file.
/20-years-of-dreamforce/,/20-years-of-dreamforce/,post,posts/20-years-of-dreamforce.md,,20-years-of-dreamforce/index.html,pass,explicit-frontmatter-route,Keep route is preserved by explicit url front matter on the destination content file.
/a-beginners-guide-to-webdav-in-sfcc/,/a-beginners-guide-to-webdav-in-sfcc/,post,posts/a-beginners-guide-to-webdav-in-sfcc.md,,a-beginners-guide-to-webdav-in-sfcc/index.html,pass,explicit-frontmatter-route,Keep route is preserved by explicit url front matter on the destination content file.
/a-deep-dive-into-the-23-7-sfcc-release/,/a-deep-dive-into-the-23-7-sfcc-release/,post,posts/a-deep-dive-into-the-23-7-sfcc-release.md,,a-deep-dive-into-the-23-7-sfcc-release/index.html,pass,explicit-frontmatter-route,Keep route is preserved by explicit url front matter on the destination content file.
/a-dev-guide-to-combating-fraud-on-sfcc/,/a-dev-guide-to-combating-fraud-on-sfcc/,post,posts/a-dev-guide-to-combating-fraud-on-sfcc.md,,a-dev-guide-to-combating-fraud-on-sfcc/index.html,pass,explicit-frontmatter-route,Keep route is preserved by explicit url front matter on the destination content file.
/a-look-at-the-23-9-commerce-cloud-release/,/a-look-at-the-23-9-commerce-cloud-release/,post,posts/a-look-at-the-23-9-commerce-cloud-release.md,,a-look-at-the-23-9-commerce-cloud-release/index.html,pass,explicit-frontmatter-route,Keep route is preserved by explicit url front matter on the destination content file.
/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/,/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/,post,posts/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release.md,,a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/index.html,pass,explicit-frontmatter-route,Keep route is preserved by explicit url front matter on the destination content file.
/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/,/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/,post,posts/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release.md,,a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/index.html,pass,explicit-frontmatter-route,Keep route is preserved by explicit url front matter on the destination content file.
/a-look-at-the-sfcc-23-5-release/,/a-look-at-the-sfcc-23-5-release/,post,posts/a-look-at-the-sfcc-23-5-release.md,,a-look-at-the-sfcc-23-5-release/index.html,pass,explicit-frontmatter-route,Keep route is preserved by explicit url front matter on the destination content file.
/a-look-back-at-origin-shielding/,/a-look-back-at-origin-shielding/,post,posts/a-look-back-at-origin-shielding.md,,a-look-back-at-origin-shielding/index.html,pass,explicit-frontmatter-route,Keep route is preserved by explicit url front matter on the destination content file.
/a-new-commerce-cloud-community-in-town/,/a-new-commerce-cloud-community-in-town/,post,posts/a-new-commerce-cloud-community-in-town.md,,a-new-commerce-cloud-community-in-town/index.html,pass,explicit-frontmatter-route,Keep route is preserved by explicit url front matter on the destination content file.
/a-new-day-for-commerce-recap/,/a-new-day-for-commerce-recap/,post,posts/a-new-day-for-commerce-recap.md,,a-new-day-for-commerce-recap/index.html,pass,explicit-frontmatter-route,Keep route is preserved by explicit url front matter on the destination content file.
/a-survival-guide-to-sfcc-platform-limits/,/a-survival-guide-to-sfcc-platform-limits/,post,posts/a-survival-guide-to-sfcc-platform-limits.md,,a-survival-guide-to-sfcc-platform-limits/index.html,pass,explicit-frontmatter-route,Keep route is preserved by explicit url front matter on the destination content file.
/about/,/about/,page,pages/about.md,,about/index.html,pass,explicit-frontmatter-route,Keep route is preserved by explicit url front matter on the destination content file.
/ai-as-an-architect-and-content-creator/,/ai-as-an-architect-and-content-creator/,post,posts/ai-as-an-architect-and-content-creator.md,,ai-as-an-architect-and-content-creator/index.html,pass,explicit-frontmatter-route,Keep route is preserved by explicit url front matter on the destination content file.
/ai-automation-to-augmentation-at-work/,/ai-automation-to-augmentation-at-work/,post,posts/ai-automation-to-augmentation-at-work.md,,ai-automation-to-augmentation-at-work/index.html,pass,explicit-frontmatter-route,Keep route is preserved by explicit url front matter on the destination content file.
/ai-einstein-in-salesforce-b2c-commerce-cloud/,/ai-einstein-in-salesforce-b2c-commerce-cloud/,post,posts/ai-einstein-in-salesforce-b2c-commerce-cloud.md,,ai-einstein-in-salesforce-b2c-commerce-cloud/index.html,pass,explicit-frontmatter-route,Keep route is preserved by explicit url front matter on the destination content file.
/ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will/,/ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will/,post,posts/ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will.md,,ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will/index.html,pass,explicit-frontmatter-route,Keep route is preserved by explicit url front matter on the destination content file.
/an-overview-of-sfcc-global-functions/,/an-overview-of-sfcc-global-functions/,post,posts/an-overview-of-sfcc-global-functions.md,,an-overview-of-sfcc-global-functions/index.html,pass,explicit-frontmatter-route,Keep route is preserved by explicit url front matter on the destination content file.
/archive/,/archive/,page,pages/archive.md,,archive/index.html,pass,explicit-frontmatter-route,Keep route is preserved by explicit url front matter on the destination content file.
/b2c-commerce-cloud-campaign-erd/,/b2c-commerce-cloud-campaign-erd/,post,posts/b2c-commerce-cloud-campaign-erd.md,,b2c-commerce-cloud-campaign-erd/index.html,pass,explicit-frontmatter-route,Keep route is preserved by explicit url front matter on the destination content file.
