audit_id,audit_run_id,audit_date,article_url,source_file,signals,live_h1,local_h1,text_similarity,heading_similarity,code_similarity,baseline_delta_status,manual_verification_status,overall_result,severity,finding_classification,summary,recommended_action,evidence
RHI-CRIT-001,phase-8-critical-rerun-2026-03-17,2026-03-17,/20-years-of-dreamforce/,src/content/posts/20-years-of-dreamforce/index.md,community|events|body-parity,20 years of Dreamforce,20 years of Dreamforce,0.962,0.786,1.000,unchanged,automated,pass,none,no-material-drift,No material reader-facing drift was detected in the critical-focused rerun.,No action required.,text_similarity=0.962; heading_similarity=0.786; code_similarity=1.000; live_code_block_count=0; local_code_block_count=0; raw_url_diff=0
RHI-CRIT-002,phase-8-critical-rerun-2026-03-17,2026-03-17,/a-beginners-guide-to-webdav-in-sfcc/,src/content/posts/a-beginners-guide-to-webdav-in-sfcc/index.md,code-heavy|webdav|file-management,A Beginner’s Guide to WebDAV for Salesforce B2C Commerce Cloud: Simplifying File Management,Beginner's Guide to WebDAV in SFCC,0.963,1.000,1.000,improved,automated,pass,none,expected-title-h1-drift,The strongest remaining difference is the expected live-versus-local H1 rewrite.,No action required for the critical queue unless headline alignment is later brought back into scope.,text_similarity=0.963; heading_similarity=1.000; code_similarity=1.000; live_code_block_count=1; local_code_block_count=1; raw_url_diff=0; live_h1=A Beginner’s Guide to WebDAV for Salesforce B2C Commerce Cloud: Simplifying File Management; local_h1=Beginner's Guide to WebDAV in SFCC
RHI-CRIT-003,phase-8-critical-rerun-2026-03-17,2026-03-17,/a-deep-dive-into-the-23-7-sfcc-release/,src/content/posts/a-deep-dive-into-the-23-7-sfcc-release/index.md,release-notes|editorial-drift,A deep-dive into the 23.7 Commerce Cloud release,A deep-dive into the 23.7 Commerce Cloud release,0.953,1.000,1.000,unchanged,automated,pass,none,no-material-drift,No material reader-facing drift was detected in the critical-focused rerun.,No action required.,text_similarity=0.953; heading_similarity=1.000; code_similarity=1.000; live_code_block_count=0; local_code_block_count=0; raw_url_diff=0
RHI-CRIT-004,phase-8-critical-rerun-2026-03-17,2026-03-17,/a-dev-guide-to-combating-fraud-on-sfcc/,src/content/posts/a-dev-guide-to-combating-fraud-on-sfcc/index.md,longform|security|title-drift,Unmasking the Ghosts in the Machine: A Developer’s Guide to Combating Fraud on Salesforce B2C Commerce Cloud,Developer's Guide to Combating Fraud in SFCC,0.976,1.000,1.000,improved,automated,pass,none,expected-title-h1-drift,The strongest remaining difference is the expected live-versus-local H1 rewrite.,No action required for the critical queue unless headline alignment is later brought back into scope.,text_similarity=0.976; heading_similarity=1.000; code_similarity=1.000; live_code_block_count=0; local_code_block_count=0; raw_url_diff=0; live_h1=Unmasking the Ghosts in the Machine: A Developer’s Guide to Combating Fraud on Salesforce B2C Commerce Cloud; local_h1=Developer's Guide to Combating Fraud in SFCC
RHI-CRIT-005,phase-8-critical-rerun-2026-03-17,2026-03-17,/a-look-at-the-23-9-commerce-cloud-release/,src/content/posts/a-look-at-the-23-9-commerce-cloud-release/index.md,release-notes|title-drift|headless,Transforming the Future with the 23.9 Release and Custom SCAPI Endpoints,SFCC 23.9 Release Highlights and SCAPI Updates,0.946,1.000,1.000,improved,automated,pass,none,expected-title-h1-drift,The strongest remaining difference is the expected live-versus-local H1 rewrite.,No action required for the critical queue unless headline alignment is later brought back into scope.,text_similarity=0.946; heading_similarity=1.000; code_similarity=1.000; live_code_block_count=0; local_code_block_count=0; raw_url_diff=0; live_h1=Transforming the Future with the 23.9 Release and Custom SCAPI Endpoints; local_h1=SFCC 23.9 Release Highlights and SCAPI Updates
RHI-CRIT-006,phase-8-critical-rerun-2026-03-17,2026-03-17,/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/,src/content/posts/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/index.md,release-notes|slas|identifier-examples,A look at the Salesforce B2C Commerce Cloud 23.6 release,A look at the Salesforce B2C Commerce Cloud 23.6 release,0.950,1.000,1.000,unchanged,automated,pass,none,no-material-drift,No material reader-facing drift was detected in the critical-focused rerun.,No action required.,text_similarity=0.950; heading_similarity=1.000; code_similarity=1.000; live_code_block_count=0; local_code_block_count=0; raw_url_diff=0
RHI-CRIT-007,phase-8-critical-rerun-2026-03-17,2026-03-17,/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/,src/content/posts/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/index.md,release-notes|callout-heavy,A look at the Salesforce B2C Commerce Cloud 24.2 release,A look at the Salesforce B2C Commerce Cloud 24.2 release,0.984,1.000,1.000,improved,automated,pass,none,no-material-drift,No material reader-facing drift was detected in the critical-focused rerun.,No action required.,text_similarity=0.984; heading_similarity=1.000; code_similarity=1.000; live_code_block_count=2; local_code_block_count=2; raw_url_diff=0
RHI-CRIT-008,phase-8-critical-rerun-2026-03-17,2026-03-17,/a-look-at-the-sfcc-23-5-release/,src/content/posts/a-look-at-the-sfcc-23-5-release/index.md,release-notes|content-insertions,A look at the Salesforce B2C Commerce Cloud 23.5 release,A look at the Salesforce B2C Commerce Cloud 23.5 release,0.937,1.000,1.000,improved,automated,pass,none,no-material-drift,No material reader-facing drift was detected in the critical-focused rerun.,No action required.,text_similarity=0.937; heading_similarity=1.000; code_similarity=1.000; live_code_block_count=0; local_code_block_count=0; raw_url_diff=0
RHI-CRIT-009,phase-8-critical-rerun-2026-03-17,2026-03-17,/a-look-back-at-origin-shielding/,src/content/posts/a-look-back-at-origin-shielding/index.md,code-light|origin-shielding|formatting,A look back at Origin Shielding,A look back at Origin Shielding,0.922,0.250,1.000,improved,automated,pass,none,structure-only-drift,Only non-critical heading-structure drift was detected; the reader-visible body content remains materially aligned.,No action required unless heading structure must match live exactly.,text_similarity=0.922; heading_similarity=0.250; code_similarity=1.000; live_code_block_count=0; local_code_block_count=0; raw_url_diff=0
RHI-CRIT-010,phase-8-critical-rerun-2026-03-17,2026-03-17,/a-new-commerce-cloud-community-in-town/,src/content/posts/a-new-commerce-cloud-community-in-town/index.md,code-heavy|mailto|community-contact,A new Commerce Cloud community in town!,A new Commerce Cloud community in town!,0.881,0.429,1.000,improved,automated,pass,none,structure-only-drift,Only non-critical heading-structure drift was detected; the reader-visible body content remains materially aligned.,No action required unless heading structure must match live exactly.,text_similarity=0.881; heading_similarity=0.429; code_similarity=1.000; live_code_block_count=0; local_code_block_count=0; raw_url_diff=0
