legacy_url,legacy_path,route_class,disposition,target_url,intent_class,owner,notes,implementation_layer,redirect_code,has_organic_traffic,has_external_links,source
/,/,page,keep,/,preserved-exact,seo-owner,Class page defaults to keep with canonical path preserved.,none,,1,1,crawl:seed|page-sitemap.xml|search-console:links|search-console:pages|seed:manual
/?p=10100,/?p=10100,system,merge,/chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/,pending-review,migration-engineer,Legacy URL redirects to /chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=1011,/?p=1011,system,merge,/preparing-for-the-b2c-commerce-developer-certification/,pending-review,migration-engineer,Legacy URL redirects to /preparing-for-the-b2c-commerce-developer-certification/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=10175,/?p=10175,system,merge,/salesforce-b2c-commerce-cloud-23-10-release-a-comprehensive-overview/,pending-review,migration-engineer,Legacy URL redirects to /salesforce-b2c-commerce-cloud-23-10-release-a-comprehensive-overview/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=10453,/?p=10453,system,merge,/new-apis-and-features-for-a-headless-sfcc/,pending-review,migration-engineer,Legacy URL redirects to /new-apis-and-features-for-a-headless-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=10508,/?p=10508,system,merge,/slicing-versus-variation-groups-in-sfcc/,pending-review,migration-engineer,Legacy URL redirects to /slicing-versus-variation-groups-in-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=10587,/?p=10587,system,merge,/leveraging-generic-mappings-in-sfcc/,pending-review,migration-engineer,Legacy URL redirects to /leveraging-generic-mappings-in-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=1061,/?p=1061,system,merge,/is-salesforce-certification-worth-it/,pending-review,migration-engineer,Legacy URL redirects to /is-salesforce-certification-worth-it/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=10642,/?p=10642,system,merge,/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/,pending-review,migration-engineer,Legacy URL redirects to /mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=10683,/?p=10683,system,merge,/why-circumventing-sfcc-quota-limits-is-a-bad-idea/,pending-review,migration-engineer,Legacy URL redirects to /why-circumventing-sfcc-quota-limits-is-a-bad-idea/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
