page_url,target,occurrence_index,corrected_text,original_text,source_file
/a-deep-dive-into-the-23-7-sfcc-release/,/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/,1,Read the 23.6 release notes,Click here,migration/output/content/posts/a-deep-dive-into-the-23-7-sfcc-release.md
/a-deep-dive-into-the-23-7-sfcc-release/,https://developer.salesforce.com/docs/commerce/pwa-kit-managed-runtime/guide/managed-runtime-administration.html#environment-variables,1,in the Managed Runtime environment variables guide,here,migration/output/content/posts/a-deep-dive-into-the-23-7-sfcc-release.md
/a-deep-dive-into-the-23-7-sfcc-release/,https://github.com/SalesforceCommerceCloud/social_channel_integrations,1,from the Social Channel Integrations repository,here,migration/output/content/posts/a-deep-dive-into-the-23-7-sfcc-release.md
/a-look-at-the-23-9-commerce-cloud-release/,/what-is-new-in-the-23-8-commerce-cloud-release/,1,Read the 23.8 release notes,Click here,migration/output/content/posts/a-look-at-the-23-9-commerce-cloud-release.md
/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/,/a-look-at-the-sfcc-23-5-release/,1,Read the 23.5 release notes,Click here,migration/output/content/posts/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release.md
/a-look-at-the-sfcc-23-5-release/,/everything-new-in-sfcc-23-4/,1,Read the 23.4 release notes,Click here,migration/output/content/posts/a-look-at-the-sfcc-23-5-release.md
/b2c-commerce-whats-new-in-22-4/,https://help.salesforce.com/s/articleView?id=rn_b2c_rn_22_4_release.htm&type=5&language=en_US,1,for April 2022,here,migration/output/content/posts/b2c-commerce-whats-new-in-22-4.md
/b2c-commerce-whats-new-in-the-22-3-release/,https://help.salesforce.com/s/articleView?id=rn_b2c_rn_22_3_release.htm&type=5&language=en_US,1,for March 2022,here,migration/output/content/posts/b2c-commerce-whats-new-in-the-22-3-release.md
/caching-in-the-sfcc-composable-storefront/,https://developer.salesforce.com/docs/commerce/commerce-api/guide/server-side-web-tier-caching.html,1,in the server-side web-tier caching guide,here,migration/output/content/posts/caching-in-the-sfcc-composable-storefront.md
/creating-custom-ocapi-endpoints/,https://github.com/taurgis/ocapi-custom-endpoints,1,in the OCAPI custom endpoints example repository,here,migration/output/content/posts/creating-custom-ocapi-endpoints.md
/delta-exports-in-salesforce-b2c-commerce-cloud/,https://documentation.b2c.commercecloud.salesforce.com/DOC1/topic/com.demandware.dochelp/content/b2c_commerce/topics/import_export/b2c_delta_exports.html,1,in the Delta Exports documentation,here,migration/output/content/posts/delta-exports-in-salesforce-b2c-commerce-cloud.md
/digging-into-the-b2c-commerce-cloud-24-3-release/,/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/,1,Read the 24.2 release notes,Click here,migration/output/content/posts/digging-into-the-b2c-commerce-cloud-24-3-release.md
/everything-new-in-sfcc-23-4/,/salesforce-b2c-commerce-cloud-23-3-release/,1,Read the 23.3 release notes,Click here,migration/output/content/posts/everything-new-in-sfcc-23-4.md
/getting-secured-with-the-24-5-salesforce-b2c-commerce-cloud-release/,/getting-to-know-the-sfcc-24-4-release/,1,Read the 24.4 release notes,Click here,migration/output/content/posts/getting-secured-with-the-24-5-salesforce-b2c-commerce-cloud-release.md
/getting-to-know-sfra-as-a-developer/,/how-to-get-a-salesforce-b2c-commerce-cloud-sandbox/,1,in this guide to getting your sandbox,here,migration/output/content/posts/getting-to-know-sfra-as-a-developer.md
/getting-to-know-the-sfcc-24-4-release/,/digging-into-the-b2c-commerce-cloud-24-3-release/,1,Read the 24.3 release notes,Click here,migration/output/content/posts/getting-to-know-the-sfcc-24-4-release.md
/getting-to-know-the-sfcc-24-4-release/,https://developer.salesforce.com/docs/commerce/commerce-api/guide/custom-apis.html,1,in the Custom APIs guide,here,migration/output/content/posts/getting-to-know-the-sfcc-24-4-release.md
/how-to-get-a-salesforce-b2c-commerce-cloud-sandbox/,https://partners.salesforce.com/pdx/s/learn/article/isv-b2c-commerce-MCDSZA63SNTNCRRBPDZX3PU7OGWI?language=en_US,1,at the partner program overview,here,migration/output/content/posts/how-to-get-a-salesforce-b2c-commerce-cloud-sandbox.md
/how-to-set-up-the-ecdn-in-sfcc-staging/,https://help.salesforce.com/s/articleView?id=sf.rn_b2c_rn_configure_ecdn_for_staging_in_bm.htm&type=5,1,in the staging eCDN Business Manager release note,here,migration/output/content/posts/how-to-set-up-the-ecdn-in-sfcc-staging.md
/mail-attachments-in-b2c-commerce-cloud/,https://github.com/taurgis/salesforce-commerce-cloud-libraries/blob/master/cartridges/plugin_testlibraries/cartridge/controllers/jsPDF.js,1,in the jsPDF attachment controller example,here,migration/output/content/posts/mail-attachments-in-b2c-commerce-cloud.md
/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/,/#steptypes,1,see the steptypes example,click here,migration/output/content/posts/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud.md
/salesforce-b2c-commerce-cloud-22-10/,/salesforce-b2c-commerce-cloud-22-9-release/,1,Read the 22.9 release notes,Click here,migration/output/content/posts/salesforce-b2c-commerce-cloud-22-10.md
/salesforce-b2c-commerce-cloud-22-10/,https://github.com/SalesforceCommerceCloud/social_channel_integrations,1,from the Social Channel Integrations repository,here,migration/output/content/posts/salesforce-b2c-commerce-cloud-22-10.md
/salesforce-b2c-commerce-cloud-22-8/,/salesforce-b2c-commerce-cloud-the-22-7-release/,1,Read the 22.7 release notes,Click here,migration/output/content/posts/salesforce-b2c-commerce-cloud-22-8.md
/salesforce-b2c-commerce-cloud-22-8/,https://github.com/SalesforceCommerceCloud/pwa-kit/releases/tag/v2.1.0,1,in the PWA Kit v2.1.0 release notes,here,migration/output/content/posts/salesforce-b2c-commerce-cloud-22-8.md
/salesforce-b2c-commerce-cloud-22-9-release/,/salesforce-b2c-commerce-cloud-22-8/,1,Read the 22.8 release notes,Click here,migration/output/content/posts/salesforce-b2c-commerce-cloud-22-9-release.md
/salesforce-b2c-commerce-cloud-23-1/,/salesforce-b2c-commerce-cloud-22-10/,1,Read the 22.10 release notes,Click here,migration/output/content/posts/salesforce-b2c-commerce-cloud-23-1.md
/salesforce-b2c-commerce-cloud-23-1/,https://github.com/SalesforceCommerceCloud/pwa-kit/releases/tag/v2.4.0,1,in the PWA Kit v2.4.0 release notes,here,migration/output/content/posts/salesforce-b2c-commerce-cloud-23-1.md
/salesforce-b2c-commerce-cloud-23-10-release-a-comprehensive-overview/,/a-look-at-the-23-9-commerce-cloud-release/,1,Read the 23.9 release notes,Click here,migration/output/content/posts/salesforce-b2c-commerce-cloud-23-10-release-a-comprehensive-overview.md
/salesforce-b2c-commerce-cloud-23-2/,/salesforce-b2c-commerce-cloud-23-1/,1,Read the 23.1 release notes,Click here,migration/output/content/posts/salesforce-b2c-commerce-cloud-23-2.md
/salesforce-b2c-commerce-cloud-23-3-release/,/salesforce-b2c-commerce-cloud-23-2/,1,Read the 23.2 release notes,Click here,migration/output/content/posts/salesforce-b2c-commerce-cloud-23-3-release.md
/salesforce-b2c-commerce-cloud-23-3-release/,https://github.com/SalesforceCommerceCloud/plugin_commercepayments,1,on GitHub,here,migration/output/content/posts/salesforce-b2c-commerce-cloud-23-3-release.md
/salesforce-b2c-commerce-cloud-23-3-release/,https://github.com/SalesforceCommerceCloud/pwa-kit/releases/tag/v2.6.0,1,,here,migration/output/content/posts/salesforce-b2c-commerce-cloud-23-3-release.md
/salesforce-b2c-commerce-cloud-november-2022-updates/,https://github.com/SalesforceCommerceCloud/b2c-tools/compare/v0.13.2...v0.13.3,1,in the b2c-tools v0.13.2 to v0.13.3 comparison,here,migration/output/content/posts/salesforce-b2c-commerce-cloud-november-2022-updates.md
/salesforce-b2c-commerce-cloud-the-22-7-release/,/salesforce-b2c-commerce-the-22-6-release/,1,Read the 22.6 release notes,Click here,migration/output/content/posts/salesforce-b2c-commerce-cloud-the-22-7-release.md
/salesforce-b2c-commerce-cloud-the-22-7-release/,https://help.salesforce.com/s/articleView?id=sf.rn_b2c_OCAPI_order_export_mc.htm&type=5,1,in the order export encryption update notes,here,migration/output/content/posts/salesforce-b2c-commerce-cloud-the-22-7-release.md
/salesforce-b2c-commerce-the-22-5-release/,/b2c-commerce-whats-new-in-22-4/,1,Read the 22.4 release notes,Click here,migration/output/content/posts/salesforce-b2c-commerce-the-22-5-release.md
/salesforce-b2c-commerce-the-22-5-release/,https://developer.salesforce.com/docs/commerce/commerce-api/references?meta=shopper-context:Summary,1,in the Shopper Context API reference,here,migration/output/content/posts/salesforce-b2c-commerce-the-22-5-release.md
/sending-emails-from-sfcc/,https://help.salesforce.com/s/articleView?id=000391416&type=1,1,in the Salesforce SPF setup guide,here,migration/output/content/posts/sending-emails-from-sfcc.md
/sfcc-24-1-release-a-new-year-update/,/salesforce-b2c-commerce-cloud-23-10-release-a-comprehensive-overview/,1,Read the 23.10 release notes,Click here,migration/output/content/posts/sfcc-24-1-release-a-new-year-update.md
/sfcc-basket-order-erd/,/salesforce-b2c-commerce-cloud-erd/,1,ERD overview page,here,migration/output/content/posts/sfcc-basket-order-erd.md
/sfcc-basket-order-erd/,/salesforce-b2c-commerce-cloud-erd/,2,the ERD overview page,here,migration/output/content/posts/sfcc-basket-order-erd.md
/sfcc-basket-order-erd/,/salesforce-b2c-commerce-cloud-erd/,3,there on the ERD overview page,here,migration/output/content/posts/sfcc-basket-order-erd.md
/taming-the-beast-a-developers-deep-dive-into-sfcc-meta-tag-rules/,https://dev.to/bolt04/how-to-use-the-seo-meta-tag-rules-module-for-page-designer-in-sfcc-20i8,1,in the Page Designer meta tag workaround article,here,migration/output/content/posts/taming-the-beast-a-developers-deep-dive-into-sfcc-meta-tag-rules.md
/the-latest-in-sfcc-version-24-7/,/what-is-new-in-sfcc-24-6/,1,Read the 24.6 release notes,Click here,migration/output/content/posts/the-latest-in-sfcc-version-24-7.md
/trailblazerdx-2022-for-b2c-commerce/,https://trailhead.salesforce.com/trailblazer-community/feed/0D54S00000FUYl1SAH,1,through the Trailblazer Community thread,here,migration/output/content/posts/trailblazerdx-2022-for-b2c-commerce.md
/what-is-new-in-sfcc-24-6/,/getting-secured-with-the-24-5-salesforce-b2c-commerce-cloud-release/,1,Read the 24.5 release notes,Click here,migration/output/content/posts/what-is-new-in-sfcc-24-6.md
/what-is-new-in-the-23-8-commerce-cloud-release/,/salesforce-b2c-commerce-the-22-6-release/,1,Read the 22.6 release notes,Click here,migration/output/content/posts/what-is-new-in-the-23-8-commerce-cloud-release.md
/what-is-the-ocapi-session-bridge/,https://developer.salesforce.com/docs/commerce/commerce-api/guide/slas-session-bridge-auth.html?q=session%20bridge,1,in the SLAS Session Bridge guide,here,migration/output/content/posts/what-is-the-ocapi-session-bridge.md
