legacy_url,target_url,implementation_layer,published_file,target_type,status,notes
/?p=10100,/chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/,none,chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/index.html,html,pass,Redirect target exists as a published HTML route at chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/index.html.
/?p=1011,/preparing-for-the-b2c-commerce-developer-certification/,none,preparing-for-the-b2c-commerce-developer-certification/index.html,html,pass,Redirect target exists as a published HTML route at preparing-for-the-b2c-commerce-developer-certification/index.html.
/?p=10175,/salesforce-b2c-commerce-cloud-23-10-release-a-comprehensive-overview/,none,salesforce-b2c-commerce-cloud-23-10-release-a-comprehensive-overview/index.html,html,pass,Redirect target exists as a published HTML route at salesforce-b2c-commerce-cloud-23-10-release-a-comprehensive-overview/index.html.
/?p=10453,/new-apis-and-features-for-a-headless-sfcc/,none,new-apis-and-features-for-a-headless-sfcc/index.html,html,pass,Redirect target exists as a published HTML route at new-apis-and-features-for-a-headless-sfcc/index.html.
/?p=10508,/slicing-versus-variation-groups-in-sfcc/,none,slicing-versus-variation-groups-in-sfcc/index.html,html,pass,Redirect target exists as a published HTML route at slicing-versus-variation-groups-in-sfcc/index.html.
/?p=10587,/leveraging-generic-mappings-in-sfcc/,none,leveraging-generic-mappings-in-sfcc/index.html,html,pass,Redirect target exists as a published HTML route at leveraging-generic-mappings-in-sfcc/index.html.
/?p=1061,/is-salesforce-certification-worth-it/,none,is-salesforce-certification-worth-it/index.html,html,pass,Redirect target exists as a published HTML route at is-salesforce-certification-worth-it/index.html.
/?p=10642,/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/,none,mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/index.html,html,pass,Redirect target exists as a published HTML route at mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/index.html.
/?p=10683,/why-circumventing-sfcc-quota-limits-is-a-bad-idea/,none,why-circumventing-sfcc-quota-limits-is-a-bad-idea/index.html,html,pass,Redirect target exists as a published HTML route at why-circumventing-sfcc-quota-limits-is-a-bad-idea/index.html.
/?p=1077,/video/,none,video/index.html,html,pass,Redirect target exists as a published HTML route at video/index.html.
/?p=11082,/sfcc-24-1-release-a-new-year-update/,none,sfcc-24-1-release-a-new-year-update/index.html,html,pass,Redirect target exists as a published HTML route at sfcc-24-1-release-a-new-year-update/index.html.
