file,line,issueType,status,severity,value,message,suggestion
migration/output/content/pages/can-a-isslot-element-have-a-dynamic-id.md,1,generic_alt_text,fail,high,Screenshot of the isslot official documentation.,Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/pages/home.md,13,generic_alt_text,fail,high,A picture of Thomas Theunen leaning on a desk at the office with plants on the background.,Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/pages/home.md,13,generic_alt_text,fail,high,A picture of Thomas Theunen leaning on a desk at the office with plants on the background.,Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/pages/page-designer-add-ability-to-copy-paste-components.md,8,generic_alt_text,fail,high,A screenshot of the Experience Cloud page editor,Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/pages/page-designer-dynamic-pages-optional-subcategories.md,27,generic_alt_text,fail,high,A screenshot of page designer where a user selects a category to assign the page to.,Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/pages/salesforce-b2c-commerce-cloud-erd.md,1,missing_alt_text,fail,critical,/media/2023/salesforce-b2c-commerce-cloud-erd-0bdb8b007c.jpeg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/pages/versioning-of-content-assets.md,3,missing_alt_text,fail,critical,/media/2022/revision-blog-12e6fdce00.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/a-beginners-guide-to-webdav-in-sfcc.md,33,generic_alt_text,fail,high,"A screenshot of the business manager showing the WebDAV Permissions for the ""eCom Manager"".",Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/a-beginners-guide-to-webdav-in-sfcc.md,89,generic_alt_text,fail,high,A screenshot of the WebDAV Client Application Permissions screen showing one configuration giving an API key access to the /impex folder and /cartridges folder.,Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/a-deep-dive-into-the-23-7-sfcc-release.md,1,weak_link_text,warn,medium,Click here,Link text is too generic to stand alone reliably.,Replace the link text with a destination-specific label.
migration/output/content/posts/a-deep-dive-into-the-23-7-sfcc-release.md,11,weak_link_text,warn,medium,here,Link text is too generic to stand alone reliably.,Replace the link text with a destination-specific label.
