review_id,review_date,reviewer,article_url,source_file,sample_bucket,live_selector_found,local_selector_found,body_text_fidelity,code_example_integrity,visual_rendering_fidelity,severity,overall_result,disposition,notes,evidence_live,evidence_local
RHI-MAN-001,2026-03-22,GitHub Copilot,/phase-3-performance-baseline/,src/content/posts/phase-3-performance-baseline/index.md,flagged-exception,false,true,needs-review,pass,needs-review,low,needs-review,accepted-exception,Manual check confirms the live route is a 404 with no comparable article body while local is a known scaffold fixture.,https://www.rhino-inquisitor.com/phase-3-performance-baseline/,http://localhost:1313/phase-3-performance-baseline/
RHI-MAN-002,2026-03-22,GitHub Copilot,/the-createorders-api-in-sfcc/,src/content/posts/the-createorders-api-in-sfcc/index.md,critical-canary,true,true,pass,pass,pass,none,pass,confirmed-pass,"Manual side-by-side review confirms body meaning is preserved and code snippets remained copy-safe, including the first three JSON and grant-type examples.",https://www.rhino-inquisitor.com/the-createorders-api-in-sfcc/,http://localhost:1313/the-createorders-api-in-sfcc/
RHI-MAN-003,2026-03-22,GitHub Copilot,/mastering-sitemaps-in-sfcc/,src/content/posts/mastering-sitemaps-in-sfcc/index.md,critical-canary,true,true,pass,pass,pass,none,pass,confirmed-pass,Manual review confirms no reader-facing malformed URL exposure in local body and no regression in article structure.,https://www.rhino-inquisitor.com/mastering-sitemaps-in-sfcc/,http://localhost:1313/mastering-sitemaps-in-sfcc/
RHI-MAN-004,2026-03-22,GitHub Copilot,/sfcc-url-cracking-the-code/,src/content/posts/sfcc-url-cracking-the-code/index.md,critical-canary,true,true,pass,pass,pass,none,pass,confirmed-pass,Manual review confirms query-string examples and route/token explanations remain aligned between live and local.,https://www.rhino-inquisitor.com/sfcc-url-cracking-the-code/,http://localhost:1313/sfcc-url-cracking-the-code/
RHI-MAN-005,2026-03-22,GitHub Copilot,/what-is-new-in-the-23-8-commerce-cloud-release/,src/content/posts/what-is-new-in-the-23-8-commerce-cloud-release/index.md,critical-canary,true,true,pass,pass,pass,none,pass,confirmed-pass,Manual review confirms earlier raw-media concern is not reproducible in current rendered article body.,https://www.rhino-inquisitor.com/what-is-new-in-the-23-8-commerce-cloud-release/,http://localhost:1313/what-is-new-in-the-23-8-commerce-cloud-release/
RHI-MAN-006,2026-03-22,GitHub Copilot,/image-ine-sfcc-dis-for-developers/,src/content/posts/image-ine-sfcc-dis-for-developers/index.md,critical-canary,true,true,pass,pass,pass,low,pass,accepted-low-drift,Manual review observed minor emoji-glyph presentation variance in introductory prose but no body or code comprehension impact.,https://www.rhino-inquisitor.com/image-ine-sfcc-dis-for-developers/,http://localhost:1313/image-ine-sfcc-dis-for-developers/
RHI-MAN-007,2026-03-22,GitHub Copilot,/mail-attachments-in-b2c-commerce-cloud/,src/content/posts/mail-attachments-in-b2c-commerce-cloud/index.md,critical-canary,true,true,pass,pass,pass,none,pass,confirmed-pass,Manual review confirms multipart template and helper code blocks remain aligned and copy-safe.,https://www.rhino-inquisitor.com/mail-attachments-in-b2c-commerce-cloud/,http://localhost:1313/mail-attachments-in-b2c-commerce-cloud/
RHI-MAN-008,2026-03-22,GitHub Copilot,/how-to-set-up-the-ecdn-in-sfcc-staging/,src/content/posts/how-to-set-up-the-ecdn-in-sfcc-staging/index.md,critical-canary,true,true,pass,pass,pass,low,pass,accepted-low-drift,Manual review confirms same deprecation warning content is present on both sites with only container-format differences at top of article.,https://www.rhino-inquisitor.com/how-to-set-up-the-ecdn-in-sfcc-staging/,http://localhost:1313/how-to-set-up-the-ecdn-in-sfcc-staging/
RHI-MAN-009,2026-03-22,GitHub Copilot,/guide-to-the-getprops-method-in-sfcc/,src/content/posts/guide-to-the-getprops-method-in-sfcc/index.md,critical-canary,true,true,pass,pass,pass,none,pass,confirmed-pass,Manual review confirms JSX and getProps examples are intact and copy-safe in local render.,https://www.rhino-inquisitor.com/guide-to-the-getprops-method-in-sfcc/,http://localhost:1313/guide-to-the-getprops-method-in-sfcc/
RHI-MAN-010,2026-03-22,GitHub Copilot,/salesforce-b2c-commerce-cloud-the-22-7-release/,src/content/posts/salesforce-b2c-commerce-cloud-the-22-7-release/index.md,watchlist-canary,true,true,pass,pass,pass,low,pass,accepted-low-drift,Manual review confirms visual structure parity and that prior visual drift flag was a non-critical image-count artifact from theme-level icon rendering.,https://www.rhino-inquisitor.com/salesforce-b2c-commerce-cloud-the-22-7-release/,http://localhost:1313/salesforce-b2c-commerce-cloud-the-22-7-release/
RHI-MAN-011,2026-03-22,GitHub Copilot,/creating-custom-ocapi-endpoints/,src/content/posts/creating-custom-ocapi-endpoints/index.md,watchlist-canary,true,true,pass,pass,pass,low,pass,accepted-low-drift,Manual review confirms deprecated warning content matches live intent and code examples remain reader-usable; top warning is formatted differently in local.,https://www.rhino-inquisitor.com/creating-custom-ocapi-endpoints/,http://localhost:1313/creating-custom-ocapi-endpoints/
RHI-MAN-012,2026-03-22,GitHub Copilot,/getting-to-know-sfra-as-a-developer/,src/content/posts/getting-to-know-sfra-as-a-developer/index.md,watchlist-canary,true,true,pass,pass,pass,none,pass,confirmed-pass,Manual review confirms no reader-facing drift beyond expected capitalization/punctuation normalization.,https://www.rhino-inquisitor.com/getting-to-know-sfra-as-a-developer/,http://localhost:1313/getting-to-know-sfra-as-a-developer/
