audit_id,audit_run_id,audit_date,article_url,source_file,signals,live_h1,local_h1,text_similarity,heading_similarity,code_similarity,baseline_delta_status,manual_verification_status,overall_result,severity,finding_classification,summary,recommended_action,evidence
RHI-RERUN-001,phase-8-rerun-2026-03-16,2026-03-16,/20-years-of-dreamforce/,src/content/posts/20-years-of-dreamforce/index.md,community|events|body-parity,20 years of Dreamforce,20 years of Dreamforce,0.979,0.786,1.000,unchanged,automated,pass,none,no-material-drift,No material reader-facing drift was detected in the rerun.,No action required.,text_similarity=0.979; heading_similarity=0.786; code_similarity=1; raw_url_diff=0.
RHI-RERUN-002,phase-8-rerun-2026-03-16,2026-03-16,/a-beginners-guide-to-webdav-in-sfcc/,src/content/posts/a-beginners-guide-to-webdav-in-sfcc/index.md,code-heavy|webdav|file-management,A Beginner’s Guide to WebDAV for Salesforce B2C Commerce Cloud: Simplifying File Management,Beginner's Guide to WebDAV in SFCC,0.962,1.000,1.000,regressed,deterministic,needs-review,medium,title-h1-drift,"The body is stable, but the local H1 differs materially from the live article title.",Decide whether to keep the rewritten local H1 or align it to the live article headline.,Live H1: A Beginner’s Guide to WebDAV for Salesforce B2C Commerce Cloud: Simplifying File Management; Local H1: Beginner's Guide to WebDAV in SFCC; text_similarity=0.962; code_similarity=1.
RHI-RERUN-003,phase-8-rerun-2026-03-16,2026-03-16,/a-deep-dive-into-the-23-7-sfcc-release/,src/content/posts/a-deep-dive-into-the-23-7-sfcc-release/index.md,release-notes|editorial-drift,A deep-dive into the 23.7 Commerce Cloud release,A deep-dive into the 23.7 Commerce Cloud release,0.946,1.000,1.000,unchanged,automated,pass,none,no-material-drift,No material reader-facing drift was detected in the rerun.,No action required.,text_similarity=0.946; heading_similarity=1; code_similarity=1; raw_url_diff=0.
RHI-RERUN-004,phase-8-rerun-2026-03-16,2026-03-16,/a-dev-guide-to-combating-fraud-on-sfcc/,src/content/posts/a-dev-guide-to-combating-fraud-on-sfcc/index.md,longform|security|title-drift,Unmasking the Ghosts in the Machine: A Developer’s Guide to Combating Fraud on Salesforce B2C Commerce Cloud,Developer's Guide to Combating Fraud in SFCC,0.955,1.000,1.000,regressed,deterministic,needs-review,medium,title-h1-drift,"The body is stable, but the local H1 differs materially from the live article title.",Decide whether to keep the rewritten local H1 or align it to the live article headline.,Live H1: Unmasking the Ghosts in the Machine: A Developer’s Guide to Combating Fraud on Salesforce B2C Commerce Cloud; Local H1: Developer's Guide to Combating Fraud in SFCC; text_similarity=0.955; code_similarity=1.
RHI-RERUN-005,phase-8-rerun-2026-03-16,2026-03-16,/a-look-at-the-23-9-commerce-cloud-release/,src/content/posts/a-look-at-the-23-9-commerce-cloud-release/index.md,release-notes|title-drift|headless,Transforming the Future with the 23.9 Release and Custom SCAPI Endpoints,SFCC 23.9 Release Highlights and SCAPI Updates,0.941,1.000,1.000,regressed,deterministic,needs-review,medium,title-h1-drift,"The body is stable, but the local H1 differs materially from the live article title.",Decide whether to keep the rewritten local H1 or align it to the live article headline.,Live H1: Transforming the Future with the 23.9 Release and Custom SCAPI Endpoints; Local H1: SFCC 23.9 Release Highlights and SCAPI Updates; text_similarity=0.941; code_similarity=1.
RHI-RERUN-006,phase-8-rerun-2026-03-16,2026-03-16,/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/,src/content/posts/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/index.md,release-notes|slas|identifier-examples,A look at the Salesforce B2C Commerce Cloud 23.6 release,A look at the Salesforce B2C Commerce Cloud 23.6 release,0.947,1.000,1.000,unchanged,automated,pass,none,no-material-drift,No material reader-facing drift was detected in the rerun.,No action required.,text_similarity=0.947; heading_similarity=1; code_similarity=1; raw_url_diff=0.
RHI-RERUN-007,phase-8-rerun-2026-03-16,2026-03-16,/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/,src/content/posts/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/index.md,release-notes|callout-heavy,A look at the Salesforce B2C Commerce Cloud 24.2 release,A look at the Salesforce B2C Commerce Cloud 24.2 release,0.977,1.000,1.000,improved,confirmed,pass,none,no-material-drift,"Resolved on 2026-03-16. The XML import example now restores the allocation-timestamp tags, and the local rendered code block matches the live article.",No further action required.,Verified after remediation: live/local both render the XML import example with <allocation-timestamp> tags intact; code_similarity=1; raw_url_diff=0.
RHI-RERUN-008,phase-8-rerun-2026-03-16,2026-03-16,/a-look-at-the-sfcc-23-5-release/,src/content/posts/a-look-at-the-sfcc-23-5-release/index.md,release-notes|content-insertions,A look at the Salesforce B2C Commerce Cloud 23.5 release,A look at the Salesforce B2C Commerce Cloud 23.5 release,0.896,1.000,1.000,regressed,automated,pass,none,no-material-drift,No material reader-facing drift was detected in the rerun.,No action required.,text_similarity=0.896; heading_similarity=1; code_similarity=1; raw_url_diff=0.
RHI-RERUN-009,phase-8-rerun-2026-03-16,2026-03-16,/a-look-back-at-origin-shielding/,src/content/posts/a-look-back-at-origin-shielding/index.md,code-light|origin-shielding|formatting,A look back at Origin Shielding,A look back at Origin Shielding,0.914,0.250,1.000,regressed,automated,pass,none,structure-only-drift,Only heading-set differences were detected; no code drift or reader-visible raw-URL drift was found.,No immediate action required unless heading structure must match live exactly.,heading drift 0.250
RHI-RERUN-010,phase-8-rerun-2026-03-16,2026-03-16,/a-new-commerce-cloud-community-in-town/,src/content/posts/a-new-commerce-cloud-community-in-town/index.md,code-heavy|mailto|community-contact,A new Commerce Cloud community in town!,A new Commerce Cloud community in town!,0.855,0.429,1.000,regressed,automated-flag,needs-review,medium,body-text-review,The overall body text similarity dropped enough to warrant a manual content review.,Review the rendered body paragraphs and callouts against live to confirm whether the drift is acceptable.,moderate text similarity 0.855; heading drift 0.429
