legacy_url,disposition,target_url,redirect_code,reason,owner,priority,implementation_layer,url_class,source,has_organic_traffic,has_external_links
/,keep,/,,Class page defaults to keep with canonical path preserved.,seo-owner,critical,none,page,crawl:seed|page-sitemap.xml|search-console:links|search-console:pages|seed:manual,1,1
/?p=10100,merge,/chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/,301,Legacy URL redirects to /chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=1011,merge,/preparing-for-the-b2c-commerce-developer-certification/,301,Legacy URL redirects to /preparing-for-the-b2c-commerce-developer-certification/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=10175,merge,/salesforce-b2c-commerce-cloud-23-10-release-a-comprehensive-overview/,301,Legacy URL redirects to /salesforce-b2c-commerce-cloud-23-10-release-a-comprehensive-overview/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=10453,merge,/new-apis-and-features-for-a-headless-sfcc/,301,Legacy URL redirects to /new-apis-and-features-for-a-headless-sfcc/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=10508,merge,/slicing-versus-variation-groups-in-sfcc/,301,Legacy URL redirects to /slicing-versus-variation-groups-in-sfcc/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=10587,merge,/leveraging-generic-mappings-in-sfcc/,301,Legacy URL redirects to /leveraging-generic-mappings-in-sfcc/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=1061,merge,/is-salesforce-certification-worth-it/,301,Legacy URL redirects to /is-salesforce-certification-worth-it/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=10642,merge,/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/,301,Legacy URL redirects to /mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=10683,merge,/why-circumventing-sfcc-quota-limits-is-a-bad-idea/,301,Legacy URL redirects to /why-circumventing-sfcc-quota-limits-is-a-bad-idea/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
