route,file_path,template_family,indexable,status,blocking_failures,warnings,title,description,canonical,expected_canonical,robots,og_title,og_description,og_type,og_url,og_image,meta_refresh
/404.html,public/404.html,404,no,pass,,,Page not found | Rhino Inquisitor,The requested page could not be found on Rhino Inquisitor.,https://www.rhino-inquisitor.com/404.html,https://www.rhino-inquisitor.com/404.html,"noindex, nofollow",Page not found | Rhino Inquisitor,The requested page could not be found on Rhino Inquisitor.,website,https://www.rhino-inquisitor.com/404.html,https://www.rhino-inquisitor.com/images/social-default.svg,no
/,public/index.html,homepage,yes,pass,,"duplicate description across 4 routes (/, /category/, /category/documentation/, /category/platform/)",Rhino Inquisitor,"Technical articles, migration notes, and platform guidance from Rhino Inquisitor.",https://www.rhino-inquisitor.com/,https://www.rhino-inquisitor.com/,"index, follow",Rhino Inquisitor,"Technical articles, migration notes, and platform guidance from Rhino Inquisitor.",website,https://www.rhino-inquisitor.com/,https://www.rhino-inquisitor.com/images/social-default.svg,no
/a-beginners-guide-to-webdav-in-sfcc/,public/a-beginners-guide-to-webdav-in-sfcc/index.html,post,yes,pass,,,Beginner's Guide to WebDAV in SFCC | Rhino Inquisitor,File Management is critical and necessary in any project. How else can we work with mass data transfers or logging mechanisms?,https://www.rhino-inquisitor.com/a-beginners-guide-to-webdav-in-sfcc/,https://www.rhino-inquisitor.com/a-beginners-guide-to-webdav-in-sfcc/,"index, follow",Beginner's Guide to WebDAV in SFCC | Rhino Inquisitor,File Management is critical and necessary in any project. How else can we work with mass data transfers or logging mechanisms?,article,https://www.rhino-inquisitor.com/a-beginners-guide-to-webdav-in-sfcc/,https://www.rhino-inquisitor.com/media/2023/webdav-storing-files-scaled-8c216a580f_hu_9d42dc01c351d0d3.webp,no
/20-years-of-dreamforce/,public/20-years-of-dreamforce/index.html,post,yes,pass,,,20 years of Dreamforce | Rhino Inquisitor,"Get ready for Dreamforce 2022 with a quick look at the event's 20th anniversary, standout commerce sessions, and what to watch on site.",https://www.rhino-inquisitor.com/20-years-of-dreamforce/,https://www.rhino-inquisitor.com/20-years-of-dreamforce/,"index, follow",20 years of Dreamforce | Rhino Inquisitor,"Get ready for Dreamforce 2022 with a quick look at the event's 20th anniversary, standout commerce sessions, and what to watch on site.",article,https://www.rhino-inquisitor.com/20-years-of-dreamforce/,https://www.rhino-inquisitor.com/media/2022/dreamforce-ai-8754307d6d_hu_976d49b40b5418e2.webp,no
/a-deep-dive-into-the-23-7-sfcc-release/,public/a-deep-dive-into-the-23-7-sfcc-release/index.html,post,yes,pass,,,A deep-dive into the 23.7 Commerce Cloud release | Rhino Inquisitor,"Review the key changes in Salesforce B2C Commerce Cloud 23.7, from platform updates to headless improvements worth testing this month.",https://www.rhino-inquisitor.com/a-deep-dive-into-the-23-7-sfcc-release/,https://www.rhino-inquisitor.com/a-deep-dive-into-the-23-7-sfcc-release/,"index, follow",A deep-dive into the 23.7 Commerce Cloud release | Rhino Inquisitor,"Review the key changes in Salesforce B2C Commerce Cloud 23.7, from platform updates to headless improvements worth testing this month.",article,https://www.rhino-inquisitor.com/a-deep-dive-into-the-23-7-sfcc-release/,https://www.rhino-inquisitor.com/media/2023/person-looking-at-clothing-scaled-e57317ea0f_hu_f489497c23974748.webp,no
/a-dev-guide-to-combating-fraud-on-sfcc/,public/a-dev-guide-to-combating-fraud-on-sfcc/index.html,post,yes,pass,,,Developer's Guide to Combating Fraud in SFCC | Rhino Inquisitor,Enhance your security beyond the basics on Salesforce B2C Commerce Cloud with this comprehensive guide tailored for developers.,https://www.rhino-inquisitor.com/a-dev-guide-to-combating-fraud-on-sfcc/,https://www.rhino-inquisitor.com/a-dev-guide-to-combating-fraud-on-sfcc/,"index, follow",Developer's Guide to Combating Fraud in SFCC | Rhino Inquisitor,Enhance your security beyond the basics on Salesforce B2C Commerce Cloud with this comprehensive guide tailored for developers.,article,https://www.rhino-inquisitor.com/a-dev-guide-to-combating-fraud-on-sfcc/,https://www.rhino-inquisitor.com/media/2025/fraud-orders-sfcc-scaled-beae2495ff_hu_25981c66d32e934c.webp,no
/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/,public/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/index.html,post,yes,pass,,,A look at the Salesforce B2C Commerce Cloud 24.2 release | Rhino Inquisitor,"Review the Salesforce B2C Commerce Cloud 24.2 release and the platform updates worth testing across storefront, API, and operational workflows.",https://www.rhino-inquisitor.com/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/,https://www.rhino-inquisitor.com/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/,"index, follow",A look at the Salesforce B2C Commerce Cloud 24.2 release | Rhino Inquisitor,"Review the Salesforce B2C Commerce Cloud 24.2 release and the platform updates worth testing across storefront, API, and operational workflows.",article,https://www.rhino-inquisitor.com/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/,https://www.rhino-inquisitor.com/media/2024/a-question-mark-cloning-machine-12d5adc228_hu_6d422a84a99e82cd.webp,no
/a-look-at-the-sfcc-23-5-release/,public/a-look-at-the-sfcc-23-5-release/index.html,post,yes,pass,,,A look at the Salesforce B2C Commerce Cloud 23.5 release | Rhino Inquisitor,"Another month, another release! This time we look at the May 2023 (23.5) release! Are you interested in last month’s release notes?",https://www.rhino-inquisitor.com/a-look-at-the-sfcc-23-5-release/,https://www.rhino-inquisitor.com/a-look-at-the-sfcc-23-5-release/,"index, follow",A look at the Salesforce B2C Commerce Cloud 23.5 release | Rhino Inquisitor,"Another month, another release! This time we look at the May 2023 (23.5) release! Are you interested in last month’s release notes?",article,https://www.rhino-inquisitor.com/a-look-at-the-sfcc-23-5-release/,https://www.rhino-inquisitor.com/media/2023/a-shopping-mall-being-refurbished-with-workers-scaled-6d93cd6e04_hu_be0b813bf453b0ef.webp,no
/a-look-back-at-origin-shielding/,public/a-look-back-at-origin-shielding/index.html,post,yes,pass,,,A look back at Origin Shielding | Rhino Inquisitor,"Salesforce B2C Commerce Cloud activated Origin Shielding on production in August 2022. But for some, it did not go as planned. Why?",https://www.rhino-inquisitor.com/a-look-back-at-origin-shielding/,https://www.rhino-inquisitor.com/a-look-back-at-origin-shielding/,"index, follow",A look back at Origin Shielding | Rhino Inquisitor,"Salesforce B2C Commerce Cloud activated Origin Shielding on production in August 2022. But for some, it did not go as planned. Why?",article,https://www.rhino-inquisitor.com/a-look-back-at-origin-shielding/,https://www.rhino-inquisitor.com/media/2022/look-back-scaled-7bb346c563_hu_7d2d911f0cd58ee0.webp,no
/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/,public/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/index.html,post,yes,pass,,,A look at the Salesforce B2C Commerce Cloud 23.6 release | Rhino Inquisitor,"The weather (at least here) is giving us more sunshine, so let us shine a light on the next Salesforce B2C Commerce Cloud release!",https://www.rhino-inquisitor.com/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/,https://www.rhino-inquisitor.com/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/,"index, follow",A look at the Salesforce B2C Commerce Cloud 23.6 release | Rhino Inquisitor,"The weather (at least here) is giving us more sunshine, so let us shine a light on the next Salesforce B2C Commerce Cloud release!",article,https://www.rhino-inquisitor.com/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/,https://www.rhino-inquisitor.com/media/2023/a-neon-shopping-cart-scaled-863c5d17ed_hu_8ca70a8f916a8068.webp,no
