legacy_url,target_url,intent_class,review_status,reviewer,notes
/?p=10100,/chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=1011,/preparing-for-the-b2c-commerce-developer-certification/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /preparing-for-the-b2c-commerce-developer-certification/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=10175,/salesforce-b2c-commerce-cloud-23-10-release-a-comprehensive-overview/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /salesforce-b2c-commerce-cloud-23-10-release-a-comprehensive-overview/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=10453,/new-apis-and-features-for-a-headless-sfcc/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /new-apis-and-features-for-a-headless-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=10508,/slicing-versus-variation-groups-in-sfcc/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /slicing-versus-variation-groups-in-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=10587,/leveraging-generic-mappings-in-sfcc/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /leveraging-generic-mappings-in-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=1061,/is-salesforce-certification-worth-it/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /is-salesforce-certification-worth-it/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=10642,/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=10683,/why-circumventing-sfcc-quota-limits-is-a-bad-idea/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /why-circumventing-sfcc-quota-limits-is-a-bad-idea/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=1077,/video/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /video/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving page; the destination is not a convenience redirect to a generic hub. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
