source_id,selection_scope,primary_source_type,source_channel_set,post_type,disposition,title,legacy_url,target_url,top_90_rank,top_28_rank,compatible_alias_count,has_code_blocks,has_tables,has_embedded_media,image_count,word_count,coverage_tags,notes
73,content-backed,wxr,filesystem|wxr,page,keep,Home,/,/,6,2,0,,,,2,116,page|homepage|top-10-traffic-90d|top-10-traffic-28d,traffic-priority candidate from Phase 1 baseline
4455,content-backed,wxr,filesystem|wxr,post,keep,20 years of Dreamforce,/20-years-of-dreamforce/,/20-years-of-dreamforce/,,,0,,,,7,1470,standard-article,
8698,content-backed,wxr,filesystem|wxr,post,keep,A Beginner's Guide to WebDAV for Salesforce B2C Commerce Cloud: Simplifying File Management,/a-beginners-guide-to-webdav-in-sfcc/,/a-beginners-guide-to-webdav-in-sfcc/,5,14,0,1,,,2,782,top-10-traffic-90d,traffic-priority candidate from Phase 1 baseline
9316,content-backed,wxr,filesystem|wxr,post,keep,A deep-dive into the 23.7 Commerce Cloud release,/a-deep-dive-into-the-23-7-sfcc-release/,/a-deep-dive-into-the-23-7-sfcc-release/,,,0,,,,3,1066,standard-article,
13802,content-backed,wxr,filesystem|wxr,post,keep,Unmasking the Ghosts in the Machine: A Developer's Guide to Combating Fraud on Salesforce B2C Commerce Cloud,/a-dev-guide-to-combating-fraud-on-sfcc/,/a-dev-guide-to-combating-fraud-on-sfcc/,,,0,,,,4,3115,standard-article,
9935,content-backed,wxr,filesystem|wxr,post,keep,Transforming the Future with the 23.9 Release and Custom SCAPI Endpoints,/a-look-at-the-23-9-commerce-cloud-release/,/a-look-at-the-23-9-commerce-cloud-release/,,,0,,,,3,1105,standard-article,
9054,content-backed,wxr,wxr,post,keep,A look at the Salesforce B2C Commerce Cloud 23.6 release,/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/,/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/,,,0,,,,0,1442,standard-article,
11255,content-backed,wxr,filesystem|wxr,post,keep,A look at the Salesforce B2C Commerce Cloud 24.2 release,/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/,/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/,,,0,1,,,4,1358,,
8232,content-backed,wxr,filesystem|wxr,post,keep,A look at the Salesforce B2C Commerce Cloud 23.5 release,/a-look-at-the-sfcc-23-5-release/,/a-look-at-the-sfcc-23-5-release/,,,0,,,,2,1142,standard-article,
4640,content-backed,wxr,filesystem|wxr,post,keep,A look back at Origin Shielding,/a-look-back-at-origin-shielding/,/a-look-back-at-origin-shielding/,,,0,,,,2,693,standard-article,
4667,content-backed,wxr,filesystem|wxr,post,keep,A new Commerce Cloud community in town!,/a-new-commerce-cloud-community-in-town/,/a-new-commerce-cloud-community-in-town/,,,0,,,,2,659,standard-article,
7774,content-backed,wxr,filesystem|wxr,post,keep,A New Day for Commerce: Recap,/a-new-day-for-commerce-recap/,/a-new-day-for-commerce-recap/,,,0,,,,4,1098,standard-article,
14004,content-backed,wxr,filesystem|wxr,post,keep,The SFCC Quota Gauntlet: A Developer's Survival Guide to the Top Platform Limits,/a-survival-guide-to-sfcc-platform-limits/,/a-survival-guide-to-sfcc-platform-limits/,,4,0,,,,3,5793,standard-article|top-10-traffic-28d,traffic-priority candidate from Phase 1 baseline
68,content-backed,wxr,filesystem|wxr,page,keep,About,/about/,/about/,,,0,,,,2,607,page,
9611,content-backed,wxr,filesystem|wxr,post,keep,Mastering the Power of AI: Leveraging Technology as an Architect and Content Creator,/ai-as-an-architect-and-content-creator/,/ai-as-an-architect-and-content-creator/,,,0,,,,6,977,standard-article,
7399,content-backed,wxr,filesystem|wxr,post,keep,AI Automation to Augmentation: Its new role in the workplace,/ai-automation-to-augmentation-at-work/,/ai-automation-to-augmentation-at-work/,,,0,,,,2,1442,standard-article,
4099,content-backed,wxr,filesystem|wxr,post,keep,AI (Einstein) in Salesforce B2C Commerce Cloud,/ai-einstein-in-salesforce-b2c-commerce-cloud/,/ai-einstein-in-salesforce-b2c-commerce-cloud/,21,25,0,,,,7,1114,standard-article,traffic-priority candidate from Phase 1 baseline
13098,content-backed,wxr,filesystem|wxr,post,keep,"AI Won't Steal Your SFCC Job, But a Developer Using AI Will: The Rhino Inquisitor's Survival Guide",/ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will/,/ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will/,,,0,,,,4,2490,standard-article,
8424,content-backed,wxr,filesystem|wxr,post,keep,A Comprehensive Overview of Server-Side Global Functions in Salesforce B2C Commerce Cloud,/an-overview-of-sfcc-global-functions/,/an-overview-of-sfcc-global-functions/,,,0,1,,,2,574,,
352,content-backed,wxr,wxr,page,keep,Archive,/archive/,/archive/,,,0,,,,0,0,page,
3817,content-backed,wxr,filesystem|wxr,post,keep,Campaign ERD of Salesforce B2C Commerce Cloud,/b2c-commerce-cloud-campaign-erd/,/b2c-commerce-cloud-campaign-erd/,,,0,,,,2,511,standard-article,
664,content-backed,wxr,filesystem|wxr,post,keep,B2C Commerce: What's New In 22.4,/b2c-commerce-whats-new-in-22-4/,/b2c-commerce-whats-new-in-22-4/,,,0,,,,6,931,standard-article,
567,content-backed,wxr,filesystem|wxr,post,keep,B2C Commerce: What's new in the 22.3 release,/b2c-commerce-whats-new-in-the-22-3-release/,/b2c-commerce-whats-new-in-the-22-3-release/,,,0,,,,3,516,standard-article,
12231,content-backed,wxr,filesystem|wxr,post,keep,Caching in the Salesforce Composable Storefront,/caching-in-the-sfcc-composable-storefront/,/caching-in-the-sfcc-composable-storefront/,11,7,0,1,,,1,1031,top-10-traffic-28d,traffic-priority candidate from Phase 1 baseline
3433,content-backed,wxr,filesystem|wxr,post,keep,Leveraging Server-Side Caching to Improve SFCC REST API Speed,/caching-rest-apis-in-sfcc/,/caching-rest-apis-in-sfcc/,,,0,1,,,2,647,,
9446,content-backed,wxr,filesystem|wxr,page,keep,Can an isslot Element have a dynamic ID?,/can-a-isslot-element-have-a-dynamic-id/,/can-a-isslot-element-have-a-dynamic-id/,,,0,,,,1,136,page,
category:40,content-backed,wxr,wxr,category,keep,Certification,/category/certification/,/category/certification/,,,0,,,,0,0,category-listing,
category:11,content-backed,wxr,wxr,category,keep,Community,/category/community/,/category/community/,,,0,,,,0,5,category-listing,
category:42,content-backed,wxr,wxr,category,keep,Corporate,/category/corporate/,/category/corporate/,,,0,,,,0,0,category-listing,
category:77,content-backed,wxr,wxr,category,keep,External,/category/external/,/category/external/,,,0,,,,0,0,category-listing,
category:80,content-backed,wxr,wxr,category,keep,Forward,/category/external/forward/,/category/external/forward/,,,0,,,,0,0,category-listing,
category:83,content-backed,wxr,wxr,category,keep,LinkedIn,/category/external/linkedin/,/category/external/linkedin/,,,0,,,,0,0,category-listing,
category:96,content-backed,wxr,wxr,category,keep,Salesforce Architects Blog,/category/external/salesforce-architects-blog/,/category/external/salesforce-architects-blog/,,,0,,,,0,0,category-listing,
category:91,content-backed,wxr,wxr,category,keep,Salesforce Ben,/category/external/salesforce-ben/,/category/external/salesforce-ben/,,,0,,,,0,0,category-listing,
category:100,content-backed,wxr,wxr,category,keep,React,/category/react/,/category/react/,,,0,,,,0,0,category-listing,
category:12,content-backed,wxr,wxr,category,keep,Salesforce Commerce Cloud,/category/salesforce-commerce-cloud/,/category/salesforce-commerce-cloud/,,,0,,,,0,5,category-listing,
category:99,content-backed,wxr,wxr,category,keep,AI,/category/salesforce-commerce-cloud/ai/,/category/salesforce-commerce-cloud/ai/,,,0,,,,0,0,category-listing,
category:69,content-backed,wxr,wxr,category,keep,Architecture,/category/salesforce-commerce-cloud/architecture/,/category/salesforce-commerce-cloud/architecture/,,,0,,,,0,0,category-listing,
category:98,content-backed,wxr,wxr,category,keep,Documentation,/category/salesforce-commerce-cloud/documentation/,/category/salesforce-commerce-cloud/documentation/,,,0,,,,0,0,category-listing,
category:90,content-backed,wxr,wxr,category,keep,ERD,/category/salesforce-commerce-cloud/erd/,/category/salesforce-commerce-cloud/erd/,,,0,,,,0,0,category-listing,
category:45,content-backed,wxr,wxr,category,keep,GO-LIVE,/category/salesforce-commerce-cloud/go-live/,/category/salesforce-commerce-cloud/go-live/,,,0,,,,0,0,category-listing,
category:28,content-backed,wxr,wxr,category,keep,Release Notes,/category/salesforce-commerce-cloud/release-notes/,/category/salesforce-commerce-cloud/release-notes/,,,0,,,,0,0,category-listing,
category:13,content-backed,wxr,wxr,category,keep,Technical,/category/salesforce-commerce-cloud/technical/,/category/salesforce-commerce-cloud/technical/,,,0,,,,0,6,category-listing,
category:84,content-backed,wxr,wxr,category,keep,Salesforce Platform,/category/salesforce-platform/,/category/salesforce-platform/,,,0,,,,0,0,category-listing,
category:1,content-backed,wxr,wxr,category,keep,Uncategorized,/category/uncategorized/,/category/uncategorized/,,,0,,,,0,0,category-listing,
category:73,content-backed,wxr,wxr,category,keep,Video,/category/video/,/category/video/,,,0,,,,0,0,category-listing,
category:75,content-backed,wxr,wxr,category,keep,Podcasts,/category/video/podcasts/,/category/video/podcasts/,,,0,,,,0,0,category-listing,
category:74,content-backed,wxr,wxr,category,keep,Sessions,/category/video/sessions/,/category/video/sessions/,,,0,,,,0,0,category-listing,
1265,content-backed,wxr,filesystem|wxr,post,keep,Certifications for Salesforce B2C Commerce Cloud,/certifications-for-salesforce-b2c-commerce-cloud/,/certifications-for-salesforce-b2c-commerce-cloud/,,,0,,,,3,941,standard-article,
10100,content-backed,wxr,filesystem|wxr,post,keep,Chasing Clouds & Catching Up with the #CommerceCrew at Dreamforce 2023,/chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/,/chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/,,,0,,,1,6,713,embedded-media,
896,content-backed,wxr,filesystem|wxr,post,keep,Commerce Cloud t-shirts on #shirtforce,/commerce-cloud-t-shirts-on-shirtforce/,/commerce-cloud-t-shirts-on-shirtforce/,,,0,,,,5,543,standard-article,
1678,content-backed,wxr,wxr,page,keep,Community Repositories,/community-repositories/,/community-repositories/,,,0,,,,0,1520,page,
2616,content-backed,wxr,wxr,post,keep,Community Salesforce Events and Commerce Cloud,/community-salesforce-events-and-commerce-cloud/,/community-salesforce-events-and-commerce-cloud/,,,0,,,1,0,941,embedded-media,
4795,content-backed,wxr,wxr,page,keep,Connecting the Clouds: Wedding or funeral,/connecting-the-clouds-wedding-or-funeral/,/connecting-the-clouds-wedding-or-funeral/,,,0,,,,0,0,page,
7726,content-backed,wxr,wxr,page,keep,Cookie Policy (EU),/cookie-policy-eu/,/cookie-policy-eu/,,,0,,,,0,19,page,
