audit_id,article_url,previous_classification,review_scope,manual_review_status,review_result,severity,current_assessment,summary,recommended_action,evidence
RHI-RERUN-018,/b2c-commerce-cloud-campaign-erd/,presentation-raw-url-drift,raw-url-follow-up,confirmed,needs-review,medium,raw-media-url-leak,"The local article exposes a naked .mov media URL in the body while the live article does not show the media-file URL inline.","Replace the raw media URL with descriptive linked prose or align the section to the live article presentation.","Live render shows the surrounding ERD content without a media-file URL; local renders https://www.rhino-inquisitor.com/wp-content/uploads/2023/02/campaign-store-groups-sfcc-2023-v2.mov."
RHI-RERUN-049,/how-to-set-up-slas-for-the-composable-storefront/,presentation-raw-url-drift,raw-url-follow-up,confirmed,pass,none,no-material-drift,"The local article inlines one official SLAS setup URL in prose, but the same reference remains readable and instructional on both live and local.","No action required.","Live and local both surface the same authorization guide and SLAS setup references; the local page only changes how one URL is embedded in prose."
RHI-RERUN-051,/how-to-setup-oauth-jwt-for-the-ocapi/,presentation-raw-url-drift,raw-url-follow-up,confirmed,pass,none,no-material-drift,"The OAuth token endpoint remains visible as a technical example on both live and local, with no reader-facing corruption.","No action required.","Live and local both render the account.demandware.com access-token endpoint in the authentication example."
RHI-RERUN-057,/it-sure-has-been-quiet-on-this-blog/,presentation-raw-url-drift,raw-url-follow-up,confirmed,pass,none,no-material-drift,"The GitHub repository URL in the smart-home section is already visible on live and local, so this row was a detector overcall.","No action required.","Live and local both render https://github.com/taurgis/homebridge-iRobot-v2 in the same paragraph."
RHI-RERUN-061,/lets-go-live-ecdn/,presentation-raw-url-drift,raw-url-follow-up,confirmed,pass,none,no-material-drift,"The CDN API reference URL is already visible on the live page and remains readable locally.","No action required.","Live and local both render the developer.salesforce.com CDN API reference in the eCDN article."
RHI-RERUN-068,/mastering-sitemaps-in-sfcc/,presentation-raw-url-drift,raw-url-follow-up,confirmed,pass,none,no-material-drift,"The local page wraps example hostname and sitemap URLs in visible angle brackets, but the examples remain readable and copy-safe.","No action required.","Live renders www.your-pwa.com and https://www.your-pwa.com/sitemap_index.xml; local renders the same examples with visible angle brackets only."
RHI-RERUN-070,/navigating-dates-calendars-in-sfcc/,title-and-raw-url-drift,raw-url-follow-up,confirmed,needs-review,medium,raw-media-url-leak,"The local Storefront Toolkit section leaks a naked .mov media URL that is not visible on the live page.","Replace the raw media URL with descriptive linked prose or align the section to the live article.","Live render shows no media-file URL in the Storefront Toolkit section; local renders https://www.rhino-inquisitor.com/wp-content/uploads/2023/08/storefront-tookit-and-calendars.mov."
RHI-RERUN-080,/salesforce-b2c-commerce-cloud-22-10/,presentation-raw-url-drift,raw-url-follow-up,confirmed,needs-review,medium,malformed-admin-url-example,"The local article exposes concatenated environment hostnames plus angle-bracketed admin URLs that do not appear on live.","Repair the malformed admin URL examples so the section matches the clean live output.","Live renders clean admin.us01 and admin.dx.commercecloud.salesforce.com URLs; local prepends storefront hostnames and leaves visible angle-bracket wrappers."
RHI-RERUN-085,/salesforce-b2c-commerce-cloud-23-2/,presentation-raw-url-drift,raw-url-follow-up,confirmed,needs-review,medium,raw-media-url-leak,"The local page exposes a naked .mov media URL before the Reports and Dashboards note, while the live page does not.","Replace the raw media URL with descriptive linked prose or align the section to the live article presentation.","Local renders https://www.rhino-inquisitor.com/wp-content/uploads/2023/01/RD-overview.mov; live renders only the surrounding release-note content and repository links."
RHI-RERUN-090,/salesforce-b2c-commerce-cloud-documentation/,presentation-raw-url-drift,raw-url-follow-up,confirmed,pass,none,no-material-drift,"The documentation map and resource table already surface the same readable URLs on live and local, so this row is not a reader-facing defect.","No action required.","Live and local both render the release-notes, developer-center, and API-doc URLs directly in the table and resource sections."
